epoch	radius	lrate	distance	terror
286	3	0.231	28.411	39.64
287	3	0.23	28.295	39.195
288	3	0.229	28.083	37.24
289	3	0.228	27.806	37.623
290	3	0.227	28.345	37.764
291	3	0.227	27.985	38.063
292	3	0.226	27.93	37.173
293	3	0.225	28.146	37.572
294	3	0.224	28.135	39.227
295	3	0.224	27.987	38.464
296	3	0.223	28.328	37.021
297	3	0.222	28.291	37.589
298	3	0.221	27.932	37.674
299	3	0.221	28.315	37.569
300	3	0.22	28.129	37.235
301	3	0.219	28.221	38.318
302	3	0.219	27.803	37.613
303	3	0.218	28.136	37.047
304	3	0.217	28.047	36.81
305	3	0.216	28.531	37.258
306	3	0.216	28.158	39.272
307	3	0.215	28.099	37.537
308	3	0.214	28.033	37.049
309	3	0.213	28.301	37.23
310	3	0.213	28.33	37.489
311	3	0.212	28.567	36.594
312	3	0.211	28.384	37.686
313	3	0.211	28.636	38.357
314	3	0.21	28.203	37.111
315	3	0.209	28.317	36.775
316	3	0.209	27.837	38.577
317	3	0.208	27.669	37.053
318	3	0.207	27.713	37.522
319	3	0.206	28.208	36.769
320	3	0.206	28.466	37.581
321	3	0.205	28.232	36.804
322	3	0.204	28.299	37.426
323	3	0.204	28.556	37.825
324	3	0.203	28.165	36.403
325	3	0.202	28.175	36.922
326	3	0.202	27.968	37.807
327	3	0.201	28.649	38.55
328	3	0.2	28.546	36.723
329	3	0.2	27.976	37.042
330	3	0.199	28.51	36.258
331	3	0.198	28.169	35.798
332	3	0.198	28.271	38.232
333	3	0.197	27.884	38.188
334	3	0.196	28.337	37.204
335	2	0.196	28.598	36.887
336	2	0.195	33.351	30.542
337	2	0.194	33.064	29.885
338	2	0.194	33.135	30.037
339	2	0.193	33.43	30.548
340	2	0.193	33.21	29.725
341	2	0.192	33.442	29.162
342	2	0.191	33.215	30.127
343	2	0.191	33.434	29.283
344	2	0.19	33.135	29.763
345	2	0.189	33.398	29.854
346	2	0.189	33.275	29.397
347	2	0.188	33.303	28.792
348	2	0.187	33.241	29.642
349	2	0.187	33.471	28.946
350	2	0.186	33.241	29.583
351	2	0.186	33.377	29.723
352	2	0.185	33.622	29.605
353	2	0.184	33.607	29.542
354	2	0.184	33.665	29.625
355	2	0.183	33.3	29.767
356	2	0.183	33.302	29.703
357	2	0.182	33.325	29.968
358	2	0.181	33.593	29.555
359	2	0.181	32.841	29.508
360	2	0.18	33.036	29.179
361	2	0.18	33.488	29.131
362	2	0.179	33.353	29.676
363	2	0.178	33.384	28.905
364	2	0.178	33.111	29.426
365	2	0.177	33.031	28.881
366	2	0.177	33.187	29.005
367	2	0.176	33.315	29.171
368	2	0.175	33.208	29.055
369	2	0.175	32.866	29.048
370	2	0.174	33.281	28.821
371	2	0.174	33.348	29.845
372	2	0.173	32.954	28.985
373	2	0.172	33.027	29.04
374	2	0.172	33.192	28.792
375	2	0.171	33.297	28.736
376	2	0.171	33.317	28.971
377	2	0.17	32.975	29.574
378	2	0.17	33.035	29.046
379	2	0.169	33.197	28.787
380	2	0.168	33.4	29.006
381	2	0.168	33.092	29.453
382	2	0.167	33.308	29.189
383	2	0.167	33.367	29.045
384	2	0.166	33.363	28.754
385	2	0.166	33.158	28.481
386	2	0.165	33.184	28.652
387	2	0.165	33.148	28.827
388	2	0.164	33.256	28.78
389	2	0.164	33.355	28.58
390	2	0.163	33.348	28.383
391	2	0.162	33.467	28.673
392	2	0.162	33.441	28.668
393	2	0.161	33.356	28.479
394	2	0.161	33.331	28.861
395	2	0.16	33.012	28.982
396	2	0.16	33.239	28.83
397	2	0.159	33.319	28.464
398	2	0.159	33.375	28.148
399	2	0.158	33.548	28.347
400	2	0.158	33.467	28.631
401	2	0.157	33.653	28.312
402	2	0.157	33.475	28.751
403	2	0.156	33.645	28.076
404	2	0.156	33.179	28.391
405	2	0.155	33.411	28.531
406	2	0.155	33.356	28.786
407	2	0.154	33.577	28.377
408	2	0.153	33.385	28.214
409	2	0.153	33.105	28.466
410	2	0.152	33.095	28.133
411	2	0.152	33.202	28.39
412	2	0.151	33.126	28.569
413	2	0.151	32.993	28.243
414	2	0.15	33.023	28.17
415	2	0.15	32.958	28.494
416	2	0.149	32.978	28.175
417	2	0.149	32.836	28.114
418	2	0.148	32.946	28.394
419	2	0.148	32.912	28.072
420	2	0.147	33.121	28.521
421	2	0.147	33.082	28.062
422	2	0.146	32.793	28.077
423	2	0.146	33.008	28.04
424	2	0.146	32.966	27.913
425	2	0.145	32.87	28.179
426	2	0.145	33.021	28.218
427	2	0.144	33.046	27.827
428	2	0.144	33.148	28.306
429	2	0.143	32.998	27.969
430	2	0.143	33.027	28.264
431	2	0.142	32.867	28.244
432	2	0.142	32.84	28.286
433	2	0.141	32.947	28.076
434	2	0.141	32.844	28.269
435	2	0.14	33.079	28.201
436	2	0.14	32.945	27.867
437	2	0.139	32.95	28.02
438	2	0.139	32.979	27.73
439	2	0.138	32.927	27.947
440	2	0.138	33.177	28.126
441	2	0.137	32.824	28.145
442	2	0.137	32.901	27.897
443	2	0.137	32.801	27.676
444	2	0.136	32.985	28.03
445	2	0.136	32.942	27.769
446	2	0.135	33.083	27.823
447	2	0.135	32.924	27.816
448	2	0.134	33.01	27.788
449	2	0.134	32.955	27.827
450	2	0.133	33.108	28.038
451	2	0.133	33.109	27.556
452	2	0.133	33.063	27.69
453	2	0.132	33.024	27.91
454	2	0.132	33.111	27.729
455	2	0.131	33.057	27.408
456	2	0.131	33.037	27.587
457	2	0.13	32.936	27.738
458	2	0.13	33.085	27.825
459	2	0.129	33.086	27.869
460	2	0.129	33.042	27.666
461	2	0.129	32.958	27.66
462	2	0.128	33.195	27.245
463	2	0.128	33.207	27.598
464	2	0.127	33.383	27.298
465	2	0.127	33.305	27.175
466	2	0.127	33.189	27.308
467	2	0.126	33.245	27.449
468	2	0.126	33.168	27.574
469	2	0.125	33.107	27.404
470	2	0.125	33.215	27.512
471	2	0.124	33.29	27.614
472	2	0.124	33.28	27.458
473	2	0.124	33.202	27.442
474	2	0.123	32.972	27.189
475	2	0.123	32.984	27.228
