out_size	in_size	in_pattern_numb	train_time	identification_time	epochs
45	100	1000	3247.16	388.61	1
45	1000	100	1241.32	417.85	1
45	1000	1000	12620.11	4416.66	1
20	3	100	10.76	0.35	2
20	3	1000	109.0	2.99	2
20	10	100	13.48	0.92	2
20	10	1000	133.41	9.31	2
20	100	100	35.98	7.64	2
20	100	1000	359.03	77.06	2
20	1000	100	258.5	76.32	2
20	1000	1000	2698.96	801.25	2
25	3	100	25.62	0.46	2
25	3	1000	255.06	4.7	2
25	10	100	29.33	1.46	2
25	10	1000	303.03	14.39	2
25	100	100	65.99	12.02	2
25	100	1000	664.28	120.2	2
25	1000	100	423.15	120.81	2
25	1000	1000	4398.91	1270.15	2
30	3	100	48.67	0.78	2
30	3	1000	469.15	6.82	2
30	10	100	53.8	2.06	2
30	10	1000	543.54	21.03	2
30	100	100	106.33	17.19	2
30	100	1000	1065.22	172.18	2
30	1000	100	632.42	176.62	2
30	1000	1000	6572.51	1860.7	2
35	3	100	86.1	0.93	2
35	3	1000	896.36	9.64	2
35	10	100	103.3	2.94	2
35	10	1000	1001.98	29.15	2
35	100	100	174.41	23.78	2
35	100	1000	1735.88	238.85	2
35	1000	100	930.54	248.92	2
35	1000	1000	9498.64	2575.15	2
40	3	100	136.99	1.24	2
40	3	1000	1385.97	12.5	2
40	10	100	162.99	3.71	2
40	10	1000	1596.38	37.8	2
40	100	100	259.34	31.32	2
40	100	1000	2538.31	309.55	2
40	1000	100	1253.61	328.8	2
40	1000	1000	12928.85	3449.65	2
45	3	100	224.45	1.52	2
45	3	1000	2233.03	15.63	2
